_id,count,dayWeek,days,hours
"{'day': 23, 'hour': 2}",6.0,2.0,23,2
"{'day': 23, 'hour': 3}",4.0,2.0,23,3
"{'day': 23, 'hour': 4}",12.0,2.0,23,4
"{'day': 23, 'hour': 5}",15.0,2.0,23,5
"{'day': 23, 'hour': 6}",17.0,2.0,23,6
"{'day': 23, 'hour': 7}",42.0,2.0,23,7
"{'day': 23, 'hour': 8}",51.0,2.0,23,8
"{'day': 23, 'hour': 9}",56.0,2.0,23,9
"{'day': 23, 'hour': 10}",48.0,2.0,23,10
"{'day': 23, 'hour': 11}",53.0,2.0,23,11
"{'day': 23, 'hour': 12}",48.0,2.0,23,12
"{'day': 23, 'hour': 13}",54.0,2.0,23,13
"{'day': 23, 'hour': 14}",50.0,2.0,23,14
"{'day': 23, 'hour': 15}",60.0,2.0,23,15
"{'day': 23, 'hour': 16}",54.0,2.0,23,16
"{'day': 23, 'hour': 17}",97.0,2.0,23,17
"{'day': 23, 'hour': 18}",118.0,2.0,23,18
"{'day': 23, 'hour': 19}",104.0,2.0,23,19
"{'day': 23, 'hour': 20}",74.0,2.0,23,20
"{'day': 23, 'hour': 21}",84.0,2.0,23,21
"{'day': 23, 'hour': 22}",69.0,2.0,23,22
"{'day': 23, 'hour': 23}",57.0,2.0,23,23
"{'day': 24, 'hour': 0}",30.0,3.0,24,0
"{'day': 24, 'hour': 1}",6.0,3.0,24,1
"{'day': 24, 'hour': 2}",5.0,3.0,24,2
"{'day': 24, 'hour': 3}",3.0,3.0,24,3
"{'day': 24, 'hour': 4}",8.0,3.0,24,4
"{'day': 24, 'hour': 5}",12.0,3.0,24,5
"{'day': 24, 'hour': 6}",22.0,3.0,24,6
"{'day': 24, 'hour': 7}",63.0,3.0,24,7
"{'day': 24, 'hour': 8}",56.0,3.0,24,8
"{'day': 24, 'hour': 9}",65.0,3.0,24,9
"{'day': 24, 'hour': 10}",46.0,3.0,24,10
"{'day': 24, 'hour': 11}",54.0,3.0,24,11
"{'day': 24, 'hour': 12}",46.0,3.0,24,12
"{'day': 24, 'hour': 13}",54.0,3.0,24,13
"{'day': 24, 'hour': 14}",60.0,3.0,24,14
"{'day': 24, 'hour': 15}",62.0,3.0,24,15
"{'day': 24, 'hour': 16}",79.0,3.0,24,16
"{'day': 24, 'hour': 17}",77.0,3.0,24,17
"{'day': 24, 'hour': 18}",105.0,3.0,24,18
"{'day': 24, 'hour': 19}",115.0,3.0,24,19
"{'day': 24, 'hour': 20}",85.0,3.0,24,20
"{'day': 24, 'hour': 21}",78.0,3.0,24,21
"{'day': 24, 'hour': 22}",62.0,3.0,24,22
"{'day': 24, 'hour': 23}",42.0,3.0,24,23
"{'day': 25, 'hour': 0}",41.0,4.0,25,0
"{'day': 25, 'hour': 1}",14.0,4.0,25,1
"{'day': 25, 'hour': 2}",7.0,4.0,25,2
"{'day': 25, 'hour': 3}",8.0,4.0,25,3
"{'day': 25, 'hour': 4}",11.0,4.0,25,4
"{'day': 25, 'hour': 5}",15.0,4.0,25,5
"{'day': 25, 'hour': 6}",26.0,4.0,25,6
"{'day': 25, 'hour': 7}",36.0,4.0,25,7
"{'day': 25, 'hour': 8}",52.0,4.0,25,8
"{'day': 25, 'hour': 9}",47.0,4.0,25,9
"{'day': 25, 'hour': 10}",56.0,4.0,25,10
"{'day': 25, 'hour': 11}",39.0,4.0,25,11
"{'day': 25, 'hour': 12}",50.0,4.0,25,12
"{'day': 25, 'hour': 13}",48.0,4.0,25,13
"{'day': 25, 'hour': 14}",52.0,4.0,25,14
"{'day': 25, 'hour': 15}",53.0,4.0,25,15
"{'day': 25, 'hour': 16}",49.0,4.0,25,16
"{'day': 25, 'hour': 17}",77.0,4.0,25,17
"{'day': 25, 'hour': 18}",106.0,4.0,25,18
"{'day': 25, 'hour': 19}",101.0,4.0,25,19
"{'day': 25, 'hour': 20}",106.0,4.0,25,20
"{'day': 25, 'hour': 21}",99.0,4.0,25,21
"{'day': 25, 'hour': 22}",82.0,4.0,25,22
"{'day': 25, 'hour': 23}",67.0,4.0,25,23
"{'day': 26, 'hour': 0}",31.0,5.0,26,0
"{'day': 26, 'hour': 1}",15.0,5.0,26,1
"{'day': 26, 'hour': 2}",17.0,5.0,26,2
"{'day': 26, 'hour': 3}",7.0,5.0,26,3
"{'day': 26, 'hour': 4}",10.0,5.0,26,4
"{'day': 26, 'hour': 5}",16.0,5.0,26,5
"{'day': 26, 'hour': 6}",25.0,5.0,26,6
"{'day': 26, 'hour': 7}",44.0,5.0,26,7
"{'day': 26, 'hour': 8}",66.0,5.0,26,8
"{'day': 26, 'hour': 9}",51.0,5.0,26,9
"{'day': 26, 'hour': 10}",43.0,5.0,26,10
"{'day': 26, 'hour': 11}",51.0,5.0,26,11
"{'day': 26, 'hour': 12}",52.0,5.0,26,12
"{'day': 26, 'hour': 13}",67.0,5.0,26,13
"{'day': 26, 'hour': 14}",66.0,5.0,26,14
"{'day': 26, 'hour': 15}",51.0,5.0,26,15
"{'day': 26, 'hour': 16}",67.0,5.0,26,16
"{'day': 26, 'hour': 17}",69.0,5.0,26,17
"{'day': 26, 'hour': 18}",119.0,5.0,26,18
"{'day': 26, 'hour': 19}",121.0,5.0,26,19
"{'day': 26, 'hour': 20}",110.0,5.0,26,20
"{'day': 26, 'hour': 21}",104.0,5.0,26,21
"{'day': 26, 'hour': 22}",98.0,5.0,26,22
"{'day': 26, 'hour': 23}",70.0,5.0,26,23
"{'day': 27, 'hour': 0}",56.0,6.0,27,0
"{'day': 27, 'hour': 1}",36.0,6.0,27,1
"{'day': 27, 'hour': 2}",15.0,6.0,27,2
"{'day': 27, 'hour': 3}",4.0,6.0,27,3
"{'day': 27, 'hour': 4}",5.0,6.0,27,4
"{'day': 27, 'hour': 5}",16.0,6.0,27,5
"{'day': 27, 'hour': 6}",30.0,6.0,27,6
"{'day': 27, 'hour': 7}",39.0,6.0,27,7
"{'day': 27, 'hour': 8}",53.0,6.0,27,8
"{'day': 27, 'hour': 9}",51.0,6.0,27,9
"{'day': 27, 'hour': 10}",50.0,6.0,27,10
"{'day': 27, 'hour': 11}",50.0,6.0,27,11
"{'day': 27, 'hour': 12}",56.0,6.0,27,12
"{'day': 27, 'hour': 13}",58.0,6.0,27,13
"{'day': 27, 'hour': 14}",63.0,6.0,27,14
"{'day': 27, 'hour': 15}",66.0,6.0,27,15
"{'day': 27, 'hour': 16}",103.0,6.0,27,16
"{'day': 27, 'hour': 17}",89.0,6.0,27,17
"{'day': 27, 'hour': 18}",130.0,6.0,27,18
"{'day': 27, 'hour': 19}",140.0,6.0,27,19
"{'day': 27, 'hour': 20}",137.0,6.0,27,20
"{'day': 27, 'hour': 21}",107.0,6.0,27,21
"{'day': 27, 'hour': 22}",100.0,6.0,27,22
"{'day': 27, 'hour': 23}",79.0,6.0,27,23
"{'day': 28, 'hour': 0}",74.0,7.0,28,0
"{'day': 28, 'hour': 1}",51.0,7.0,28,1
"{'day': 28, 'hour': 2}",34.0,7.0,28,2
"{'day': 28, 'hour': 3}",14.0,7.0,28,3
"{'day': 28, 'hour': 4}",8.0,7.0,28,4
"{'day': 28, 'hour': 5}",10.0,7.0,28,5
